gene_id,Int-01_S42_L005,Int-02_S43_L005,Int-03_S44_L005,Int-04_S45_L005,Liv-01_S38_L005,Liv-02_S39_L005,Liv-03_S40_L005,Liv-04_S41_L005
Smp_045550,13.907085474547468,14.571203098279366,14.137544327548895,19.507584652819272,8.850248970733936,6.533597201167207,19.193285724263127,28.665591779961055
Smp_045560,23.178475790912447,52.456331153805714,69.11688337912793,77.07874911601762,36.50727700427749,63.469229954195725,40.78573216405915,46.66491685109939
Smp_045590,55.62834189818987,55.37057177346159,45.55430949987977,34.25722182934116,56.420337188428846,27.067759833407,64.77733931938806,47.99820018970223
Smp_045600,15.967394433739686,8.74272185896762,16.49380171547371,16.652816167040843,18.806779062809618,4.666855143690862,9.596642862131564,14.666116724631237
Smp_045610,392.48885672611743,440.0503335680368,477.53483061942933,421.5541463999482,407.1114526537611,567.4895854728088,419.8531252182559,417.3176849826889
Smp_045620,174.0961070517424,230.22500895281397,218.3465179476996,173.18928813722476,221.25622426834843,330.413344173313,213.5253036824273,203.9923508062345
Smp_045650,2.0603089591922177,0,0.785419129308272,1.4273842428892152,2.212562242683484,0,4.798321431065782,0.6666416693014199
Smp_045680,5.1507723979805435,11.656962478623493,2.3562573879248156,8.088510709705552,4.425124485366968,6.533597201167207,2.399160715532891,1.3332833386028398
Smp_045710,115.37730171476419,81.59873735036444,150.8004728271882,147.4963717652189,115.05323661954118,146.53925151189307,131.953839354309,149.9943755928195
Smp_045730,208.09120487841398,160.28323408107303,195.5693631977597,183.18097783744926,210.193413054931,210.0084814660888,206.32782153582863,199.32585912112455
Smp_045750,79.83697216869844,78.68449673070857,73.04397902566929,57.0953697155686,66.37686728050453,48.535293494384966,69.57566075045384,90.6632670249931
Smp_045760,56.14341913798793,55.37057177346159,44.7688903705715,57.57116446319834,54.20777494574536,49.46866452312314,45.58405359512493,65.33088359153915
Smp_045780,39.145870224652136,37.88512805552635,45.55430949987977,35.68460607223038,33.18843364025226,52.268777609337654,50.382375026190715,48.66484185900365
